UnderwrittenCoverID,PolicyID,TransactionMonth,IsVATRegistered,Citizenship,LegalType,Title,Language,Bank,AccountType,MaritalStatus,Gender,Country,Province,PostalCode,MainCrestaZone,SubCrestaZone,ItemType,Mmcode,VehicleType,RegistrationYear,Make,Model,Cylinders,Cubiccapacity,Kilowatts,Bodytype,NumberOfDoors,VehicleIntroDate,CustomValueEstimate,AlarmImmobiliser,TrackingDevice,CapitalOutstanding,NewVehicle,WrittenOff,Rebuilt,Converted,CrossBorder,NumberOfVehiclesInFleet,SumInsured,TermFrequency,CalculatedPremiumPerTerm,ExcessSelected,CoverCategory,CoverType,CoverGroup,Section,Product,StatutoryClass,StatutoryRiskType,TotalPremium,TotalClaims
1,8270,2014-11-04 22:48:01,True,South Africa,Close Corporation,Mrs,Zulu,Absa,Current,Single,Female,South Africa,Gauteng,8002,Zone B,Sub Zone 2,Vehicle,21825,Light Commercial,2010,BMW,Polo,6,2652,184,Hatchback,4,2013-06-02 16:04:34,367154.14407811937,False,False,187615.87265525002,False,False,False,False,False,4,153723.88290488592,Monthly,2247.991183382136,1719.6384827603895,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1488.048542233546,0.0
2,1860,2014-12-07 16:17:06,True,Other,Close Corporation,Mr,English,Standard Bank,Current,Divorced,Female,South Africa,Western Cape,9856,Zone B,Sub Zone 1,Vehicle,34151,Passenger,2005,Volkswagen,Corolla,7,1851,183,Hatchback,4,2012-11-14 04:27:27,194456.04976788512,True,False,157836.130487863,True,False,True,False,False,2,278785.71478730533,Monthly,936.5805087400485,2531.014986330541,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1478.7086724258238,0.0
3,6390,2014-06-08 10:38:53,True,Other,Close Corporation,Mrs,Zulu,FNB,Savings,Single,Female,South Africa,Gauteng,2356,Zone A,Sub Zone 2,Vehicle,10036,Light Commercial,2004,Volkswagen,3 Series,4,1071,131,Sedan,4,2007-04-04 18:02:50,309047.6283222706,True,False,192903.0478568846,True,False,False,False,False,2,346851.5192148102,Monthly,2105.893376965476,307.45835601454775,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1308.0949096614195,0.0
4,6191,2014-09-20 05:30:32,True,Other,Sole Proprietor,Dr,Zulu,Standard Bank,Current,Married,Male,South Africa,Western Cape,2014,Zone A,Sub Zone 2,Vehicle,93707,Passenger,2009,Ford,Ranger,5,1351,94,Sedan,4,2009-05-28 22:18:04,317361.0127882079,True,False,121666.05102939821,False,False,False,False,False,2,70138.49863712158,Monthly,1985.176635879234,771.003856046606,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1858.483414104276,0.0
5,6734,2014-06-24 13:04:42,False,Other,Close Corporation,Mr,Zulu,Absa,Savings,Divorced,Male,South Africa,KwaZulu-Natal,2054,Zone A,Sub Zone 1,Vehicle,49051,Passenger,2011,Toyota,3 Series,7,1622,176,Hatchback,4,2013-03-08 00:09:59,191782.2320209544,True,False,66757.3709491868,False,False,False,False,False,3,372099.80824973714,Monthly,2389.1531297948595,1097.6081786315867,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2815.928237702632,0.0
6,7265,2014-07-14 09:47:23,False,Other,Sole Proprietor,Ms,Zulu,Absa,Savings,Single,Female,South Africa,Gauteng,2764,Zone A,Sub Zone 1,Vehicle,90738,Light Commercial,2012,Toyota,Polo,4,2172,135,Hatchback,3,2003-09-12 16:00:39,207433.56546664867,False,False,165329.9550928118,False,False,False,False,False,1,392342.5344127381,Monthly,1243.5032316274264,4083.3864134323094,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3006.8261163748202,0.0
7,1466,2015-01-13 08:45:37,False,South Africa,Close Corporation,Dr,Afrikaans,FNB,Current,Single,Male,South Africa,Eastern Cape,7009,Zone B,Sub Zone 2,Vehicle,83596,Light Commercial,2011,Toyota,3 Series,6,2720,164,Sedan,3,2013-07-01 17:26:11,393011.04425752163,True,False,58291.254274674124,True,False,False,False,False,3,124782.02794553869,Monthly,2832.913937428773,3668.993784553804,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2913.52363304968,0.0
8,5426,2014-12-19 09:39:04,True,South Africa,Close Corporation,Mr,English,Standard Bank,Current,Single,Male,South Africa,Gauteng,5458,Zone B,Sub Zone 1,Vehicle,70071,Light Commercial,2011,Volkswagen,3 Series,6,1104,58,Hatchback,2,2001-02-10 20:05:58,312225.72827776213,True,False,32954.56038237718,True,False,False,False,False,4,125546.6427696063,Monthly,2903.25267348933,966.536393919718,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2363.580732835661,0.0
9,6578,2015-08-10 00:23:49,False,South Africa,Close Corporation,Ms,English,FNB,Savings,Married,Male,South Africa,KwaZulu-Natal,1667,Zone B,Sub Zone 1,Vehicle,83601,Light Commercial,2011,BMW,Ranger,4,2682,61,Hatchback,4,2002-07-16 22:21:15,117145.01658342587,False,True,141257.76280780148,True,False,False,False,False,1,141703.0495433946,Monthly,2670.309028053387,1383.7378218676295,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,1341.2826051748348,0.0
10,9322,2015-05-10 20:14:45,False,Other,Close Corporation,Mrs,Afrikaans,FNB,Savings,Divorced,Female,South Africa,KwaZulu-Natal,4370,Zone A,Sub Zone 2,Vehicle,39873,Light Commercial,2001,Ford,Ranger,7,1220,165,SUV,3,2008-08-08 00:53:35,426936.6449072925,True,True,127791.13270687188,True,False,False,False,False,2,408482.92043028673,Monthly,1930.0844154013546,4721.309317335638,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2704.565617425133,0.0
11,2685,2015-04-04 15:01:48,False,South Africa,Sole Proprietor,Ms,Zulu,Absa,Current,Married,Female,South Africa,Gauteng,6976,Zone A,Sub Zone 2,Vehicle,46648,Passenger,2004,Toyota,Polo,5,2849,137,SUV,3,2001-03-21 21:46:31,447401.4291834439,False,False,175789.78051907907,True,False,False,False,False,1,172401.3751690351,Monthly,1550.7206766533764,429.0148111301206,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,618.0858252263861,0.0
12,1769,2015-02-08 19:11:03,True,South Africa,Sole Proprietor,Dr,Afrikaans,Standard Bank,Current,Married,Male,South Africa,KwaZulu-Natal,2394,Zone A,Sub Zone 2,Vehicle,81468,Light Commercial,2008,Volkswagen,Ranger,4,1862,111,SUV,3,2006-05-02 00:21:20,259763.51658101636,False,True,192384.95156321014,True,False,False,False,False,3,408171.12712445954,Monthly,644.9810464248872,2737.275490740301,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2894.457221931345,0.0
13,7949,2014-08-21 20:20:02,True,Other,Close Corporation,Mrs,Zulu,Standard Bank,Savings,Married,Male,South Africa,Western Cape,9290,Zone B,Sub Zone 1,Vehicle,36470,Passenger,2008,BMW,Polo,5,2397,153,SUV,3,2005-04-20 01:20:06,144008.34441031714,False,False,171439.5174449108,False,False,False,False,False,4,293235.73652248207,Monthly,2868.069503652474,2610.034960072495,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2840.682692199724,0.0
14,3433,2014-11-04 10:06:03,True,Other,Sole Proprietor,Mr,Afrikaans,Standard Bank,Savings,Divorced,Male,South Africa,Western Cape,5070,Zone A,Sub Zone 1,Vehicle,75129,Passenger,2001,Ford,Polo,6,1517,122,SUV,3,2004-09-23 21:38:09,476422.92293220735,False,True,12004.359517654151,True,False,False,False,False,4,395227.09857731394,Monthly,2879.453359245917,3628.539085788446,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2510.003339529434,0.0
15,6311,2014-07-14 21:32:57,False,Other,Close Corporation,Mrs,English,Standard Bank,Savings,Married,Male,South Africa,Gauteng,7982,Zone A,Sub Zone 2,Vehicle,18328,Light Commercial,2006,Ford,Corolla,4,2283,126,Hatchback,3,2011-09-28 06:25:00,447021.30403380934,True,True,132902.68659645363,True,False,False,False,False,3,299152.86875582486,Monthly,546.7211374492097,1307.176881767513,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,793.7763499567332,0.0
16,6051,2014-12-08 17:38:40,False,South Africa,Close Corporation,Mr,English,FNB,Savings,Married,Male,South Africa,Western Cape,9613,Zone B,Sub Zone 1,Vehicle,16333,Light Commercial,2009,Toyota,Corolla,6,1298,89,Hatchback,2,2000-02-20 01:22:52,159971.7858538273,False,False,156946.48257280915,True,False,False,False,False,1,201096.00464530583,Monthly,1392.2188666018,4673.863253989524,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,3492.024006584893,0.0
17,7420,2014-08-15 14:29:51,False,South Africa,Close Corporation,Mr,English,FNB,Savings,Married,Female,South Africa,Western Cape,6599,Zone B,Sub Zone 2,Vehicle,56638,Light Commercial,2013,Toyota,Corolla,5,1860,184,SUV,3,2001-02-02 23:19:28,93017.18133621383,True,True,196385.7448700353,False,False,False,False,False,3,459821.3641961262,Monthly,2700.0909206456545,2052.9144081434747,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2769.2275772029857,0.0
18,2184,2014-05-25 12:06:15,True,Other,Close Corporation,Ms,Zulu,Absa,Current,Married,Male,South Africa,Eastern Cape,4650,Zone A,Sub Zone 1,Vehicle,21268,Light Commercial,2003,BMW,3 Series,5,1041,66,Sedan,2,2010-07-26 13:40:19,248294.12339709804,True,False,74932.25990252674,True,False,False,False,False,4,371883.0478358589,Monthly,702.1300825990457,1428.5980361710244,Comprehensive,Own Damage,Comprehensive,Motor,Car Insurance,Class A,Risk A,2704.420493023679,0.0
